"id","trial","X","A","Y","weights","Group"
1,1,1,1,NA,0.8,"Control"
1,2,1,0,2.02972082689496,0.2,"Control"
1,3,1,1,1.98057817404075,0.8,"Control"
1,4,1,1,1.99817667078844,0.8,"Control"
1,5,0,0,1.00160298122725,1,"Control"
1,6,1,1,1.03364547076904,0.8,"Control"
1,7,0,0,1.06750252623613,1,"Control"
1,8,1,1,0.935039241845736,0.8,"Control"
1,9,1,0,2.10656670229897,0.2,"Control"
1,10,1,1,1.83773869595543,0.8,"Control"
1,11,1,1,2.07939632592144,0.8,"Control"
1,12,1,0,2.20159778285146,0.2,"Control"
1,13,1,1,2.10596676725597,0.8,"Control"
1,14,0,0,0.912353443438431,1,"Control"
1,15,1,1,1.0501942186009,0.8,"Control"
1,16,0,0,1.04103119489497,1,"Control"
1,17,0,0,-0.000681524002965155,1,"Control"
1,18,1,1,0.861759146587995,0.8,"Control"
1,19,1,1,1.96795884771571,0.8,"Control"
1,20,1,1,1.95987456218417,0.8,"Control"
1,21,0,0,0.734318009503754,1,"Control"
1,22,1,1,0.985017149021778,0.8,"Control"
1,23,1,1,1.98279273074337,0.8,"Control"
1,24,1,1,2.01974305739671,0.8,"Control"
1,25,1,1,2.02050030862265,0.8,"Control"
1,26,0,0,1.17768664979298,1,"Control"
1,27,1,1,1.01265185141723,0.8,"Control"
1,28,0,0,1.08443421631253,1,"Control"
1,29,1,0,1.11634603312937,0.2,"Control"
1,30,0,0,0.895659927100938,1,"Control"
1,31,1,1,1.01754533208368,0.8,"Control"
1,32,0,0,1.00879539268299,1,"Control"
1,33,1,1,1.07705902936415,0.8,"Control"
1,34,1,1,1.89914709257363,0.8,"Control"
1,35,1,1,2.14140518415742,0.8,"Control"
1,36,1,1,1.85733621391305,0.8,"Control"
1,37,1,1,1.9225556748292,0.8,"Control"
1,38,1,1,2.05867467215013,0.8,"Control"
1,39,1,0,2.13345520981236,0.2,"Control"
1,40,0,0,1.18506045300755,1,"Control"
1,41,1,1,1.08380881143331,0.8,"Control"
1,42,1,0,2.03344432575892,0.2,"Control"
1,43,1,1,1.86907084592255,0.8,"Control"
1,44,1,0,1.96210572766136,0.2,"Control"
1,45,0,0,0.968787484678874,1,"Control"
1,46,1,1,0.996314128761845,0.8,"Control"
